,genCQs,best_expertCQs,best_cos_score
0,What are the key trends in empirical research within the field of Requirements Engineering (RE)?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.5696
1,Which countries have been most frequently involved in empirical RE research over different eras?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7064
2,In what contexts have empirical RE studies been conducted historically?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7856
3,How has empirical research in various RE knowledge areas evolved over the years?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.708
4,What types of interventions have been proposed or investigated in empirical RE research?,"""What empirical methods are used to conduct integrative and interpretive (systematic literature) reviews, so-called secondary research?""",0.6038
5,Through which channels are empirical RE studies most frequently published?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7607
6,"How are research methods, types, interventions, and domains related to the core areas of RE?",Which sub-fields of SE and RE do the empirical studies cover over time?,0.5684
7,Which research methods are most frequently used in primary empirical studies on RE?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6893
8,What kinds of research participants are often involved in primary studies on RE?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6066
9,Which data collection methods are most commonly employed in empirical RE investigations?,Which methods are used to synthesize evidence from data of different empirical methods?,0.734
10,What is the frequency of different research types in primary RE studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6112
11,How rigorous is the reported research in different core areas of RE?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6176
12,What emerging areas have been identified within empirical research in RE?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.703
13,What contributions have the systems engineering symposia of INCOSE made to empirical research trends in RE?,Do the authors use conceptual and operational definitions for key constructs and variables in empirical research in SE and RE?,0.4776
14,How has the IEEE International Symposium on RE influenced the field of empirical RE research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6293
15,What impact did the launch of IEEE International Conference on RE have on empirical research in the field?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.5581
16,How has the International Conference on Requirements Engineering: Foundation for Software Quality (REFSQ) shaped empirical research in RE?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.4605
17,What role has Springer's Journal for RE played in the field of empirical research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.5568
18,How has the evidence-based software engineering (EBSE) paradigm affected empirical studies in RE?,How many empirical studies are by authors working for large software development companies?,0.5703
19,What contributions have global software development and value-based software engineering made to empirical research in RE?,How many empirical studies are by authors working for large software development companies?,0.5636
20,What are the primary focus areas of research within empirical RE studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6982
21,Why is requirements elicitation the leading empirically researched RE core area?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.5138
22,What research trends are notable in the requirements analysis area?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.5046
23,How has empirical research in RE processes progressed over the years?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6573
24,"In which domains have empirical studies on RE been conducted, and which domains have the highest number of studies?",Which sub-fields of SE and RE do the empirical studies cover over time?,0.7711
25,What interventions have been proposed and evaluated in the information systems domain regarding RE?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.4386
26,How has the interest in practical considerations of RE evolved since 2005?,"""How has building on previous research data and results, including from other disciplines, evolved over time?""",0.5469
27,What types of research methods (such as surveys or experience reports) have been used in studying practical considerations of RE?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6188
28,What factors contribute to the limited empirical research in requirements validation and verification?,How has the use of (a common set of empirically derived) criteria to characterize the quality of secondary research and thus the overall strength of a body of evidence evolved over time?,0.5149
29,Why are non-functional requirements an emerging research area in empirical RE?,Do the authors use conceptual and operational definitions for key constructs and variables in empirical research in SE and RE?,0.5537
30,What are the significant findings from systematic mappings and systematic literature reviews on RE?,"""How up-to-date (and relevant) are reported (systematic) reviews, so-called secondary research?""",0.5793
31,How can the results of systematic mappings be used to plan future empirical studies on RE?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.5753
32,Which sub-areas of RE have been the focus of specific systematic reviews?,"""How up-to-date (and relevant) are reported (systematic) reviews, so-called secondary research?""",0.7111
33,What methodological approaches are generally used in empirical RE research?,Which methods are used to synthesize evidence from data of different empirical methods?,0.7074
34,How is the empirical evidence from RE research structured in the so-called research map?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.5866
