,genCQ,expertCQ,cos_score
0,How do users typically interact with computer systems?,How can a user interact in human–computer interactions?,0.8211
1,How do users typically interact with computer systems?,Why does a user intentionally interact with an interactive computer system?,0.7763
2,How do users typically interact with computer systems?,"Considering intentionality, how can a user interact with an interactive computer system?",0.7684
3,How do users typically interact with computer systems?,What does make up the user interface of an interactive computer system?,0.7447
4,What are the key components of a human-computer interaction system?,What does make up the user interface of an interactive computer system?,0.7413
5,What are the key components of a human-computer interaction system?,What is a human–computer interaction?,0.7403
6,What are the key components of a human-computer interaction system?,How can a user interact in human–computer interactions?,0.7127
7,How do users typically interact with computer systems?,What is an interactive computer system?,0.7096
8,What human factors influence the design of interactive systems?,What does make up the user interface of an interactive computer system?,0.7062
9,What are the key components of a human-computer interaction system?,What is a complex interactive computer system?,0.6981
10,What are the key components of a human-computer interaction system?,What is an interactive computer system?,0.6927
11,How do users typically interact with computer systems?,How is a user input processed by an interactive computer system?,0.6926
12,How do cognitive models apply to human-computer interactions?,How can a user interact in human–computer interactions?,0.6865
13,How do users typically interact with computer systems?,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,0.6785
14,How do users typically interact with computer systems?,How does a user receive an output from an interactive computer system?,0.6646
15,What human factors influence the design of interactive systems?,What is an interactive computer system?,0.6643
16,How do users typically interact with computer systems?,What is a complex interactive computer system?,0.6566
17,What are the major types of user interfaces in HCI?,What does make up the user interface of an interactive computer system?,0.6482
18,What human factors influence the design of interactive systems?,What is a complex interactive computer system?,0.6455
19,How do users typically interact with computer systems?,What is an interactive software system?,0.6325
20,How do cognitive models apply to human-computer interactions?,What is a human–computer interaction?,0.6313
21,How does human perception impact the design of interactive systems?,What does make up the user interface of an interactive computer system?,0.6265
22,What human factors influence the design of interactive systems?,What is a human–computer interaction?,0.6259
23,What human factors influence the design of interactive systems?,Why does a user intentionally interact with an interactive computer system?,0.6086
24,How do users typically interact with computer systems?,What is a human–computer interaction?,0.6075
25,What are the key components of a human-computer interaction system?,What is an interactive software system?,0.6052
26,What human factors influence the design of interactive systems?,How can a user interact in human–computer interactions?,0.6022
27,What are the major types of user interfaces in HCI?,What is a human–computer interaction?,0.5971
28,What are the key components of a human-computer interaction system?,How is a user input processed by an interactive computer system?,0.5914
29,What human factors influence the design of interactive systems?,What is an interactive software system?,0.5896
30,How do users typically interact with computer systems?,"Considering the human–computer interaction, how can a user participation cause another user participation?",0.5887
31,What are the key components of a human-computer interaction system?,Why does a user intentionally interact with an interactive computer system?,0.5784
32,What are the key components of a human-computer interaction system?,"Considering intentionality, how can a user interact with an interactive computer system?",0.5763
