,genCQ,expertCQ,cos_score
0,How do different empirical methods complement each other in SE studies?,How often are which empirical methods used?,0.7986
1,How do different empirical methods complement each other in SE studies?,How many different empirical methods are used per publication?,0.7893
2,What are the most common empirical research methods used in SE?,How often are which empirical methods used?,0.7860
3,What are the main trends in empirical SE research over the past decades?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7709
4,How do different empirical methods complement each other in SE studies?,Which methods are used to synthesize evidence from data of different empirical methods?,0.7705
5,How do different empirical methods complement each other in SE studies?,How has the number of empirical methods used per publication evolved over time?,0.7417
6,What are the most common empirical research methods used in SE?,How often are which empirical methods used over time?,0.7386
7,What are the common pitfalls in the use of statistical methods in SE research?,Do authors report that assumptions and limitations of statistical methods are met before using them?,0.7354
8,How do different empirical methods complement each other in SE studies?,How do the authors justify the selection and combination of empirical methods and design elements?,0.7340
9,What are the most common empirical research methods used in SE?,How many different empirical methods are used per publication?,0.7330
10,"What empirical methods are most relevant to SE research, and how are they used?",How often are which empirical methods used?,0.7282
11,What are the most common empirical research methods used in SE?,How has the number of empirical methods used per publication evolved over time?,0.7250
12,What criteria should be used to assess the quality and relevance of empirical SE studies?,Do the authors use (a common set of empirically derived) criteria to assess the quality of individual studies?,0.7228
13,"What is the current state of empirical SE research, and what is the vision for its future?",Which sub-fields of SE and RE do the empirical studies cover over time?,0.7216
14,What are the most common empirical research methods used in SE?,Which methods are used to synthesize evidence from data of different empirical methods?,0.7214
15,How do different empirical methods complement each other in SE studies?,How often are which empirical methods used over time?,0.7190
16,What steps are needed to increase the use of empirical methods in SE research?,How often are which empirical methods used?,0.7159
17,What role do systematic reviews and meta-analyses play in SE research?,"""What empirical methods are used to conduct integrative and interpretive (systematic literature) reviews, so-called secondary research?""",0.7129
18,What are the best practices for conducting systematic literature reviews in SE?,How many publications are analyzed in (systematic literature) reviews?,0.7101
19,"What are Level 2 theories in SE, and how can they be developed?","""On which levels of sophistication are the theories from SE and RE? (level 1, level 2, or level 3 defined in Sjøberg et al. [1])""",0.7074
20,What are the best practices for conducting systematic literature reviews in SE?,"""What empirical methods are used to conduct integrative and interpretive (systematic literature) reviews, so-called secondary research?""",0.7073
21,"What empirical methods are most relevant to SE research, and how are they used?",Which sub-fields of SE and RE do the empirical studies cover over time?,0.7016
22,What criteria should be used to assess the quality and relevance of empirical SE studies?,How has the use of (a common set of empirically derived) criteria to assess the quality of individual studies evolved over time?,0.7004
23,What are the main trends in empirical SE research over the past decades?,How has the proportion of empirical studies evolved over time?,0.6980
24,What guidelines exist for conducting empirical studies in SE?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6951
25,"What empirical methods are most relevant to SE research, and how are they used?",Which methods are used to synthesize evidence from data of different empirical methods?,0.6950
26,What steps are needed to increase the use of empirical methods in SE research?,How do the authors justify the selection and combination of empirical methods and design elements?,0.6943
27,What steps are needed to increase the use of empirical methods in SE research?,Which methods are used to synthesize evidence from data of different empirical methods?,0.6940
28,How do different empirical methods complement each other in SE studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6912
29,How can action research contribute to empirical SE studies?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.6889
30,What are the most common empirical research methods used in SE?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6858
31,What role does the synthesis of empirical evidence play in SE research?,Which methods are used to synthesize evidence from data of different empirical methods?,0.6854
32,What steps are needed to increase the use of empirical methods in SE research?,How has the number of empirical methods used per publication evolved over time?,0.6831
33,What are the common pitfalls in the use of statistical methods in SE research?,How has the use of statistical methods evolved over time?,0.6831
34,What are the common threats to the validity of empirical SE studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6828
35,How can empirical evidence be synthesized to support SE research?,Which methods are used to synthesize evidence from data of different empirical methods?,0.6818
36,How can SE researchers ensure the validity and reliability of their empirical studies?,Do the authors use (a common set of empirically derived) criteria to assess the quality of individual studies?,0.6815
37,What are the most common empirical research methods used in SE?,How often are which statistical methods used?,0.6812
38,"What are the potential biases in empirical SE studies, and how can they be mitigated?",Which sub-fields of SE and RE do the empirical studies cover over time?,0.6794
39,How can the quality of empirical studies in SE be improved?,Do the authors use (a common set of empirically derived) criteria to assess the quality of individual studies?,0.6769
40,What role do systematic reviews and meta-analyses play in SE research?,"""How up-to-date (and relevant) are reported (systematic) reviews, so-called secondary research?""",0.6764
41,"What empirical methods are most relevant to SE research, and how are they used?",How do the authors justify the selection and combination of empirical methods and design elements?,0.6727
42,What role do systematic reviews and meta-analyses play in SE research?,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.6719
43,"What empirical methods are most relevant to SE research, and how are they used?",How often are which empirical methods used over time?,0.6719
44,How can the quality of empirical studies in SE be improved?,How has the use of (a common set of empirically derived) criteria to assess the quality of individual studies evolved over time?,0.6711
45,What are the most common empirical research methods used in SE?,"""How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?""",0.6705
46,How can empirical evidence be synthesized to support SE research?,"""How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?""",0.6704
47,What role does the synthesis of empirical evidence play in SE research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6701
48,How can empirical evidence be synthesized to support SE research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6698
49,What are the common pitfalls in the use of statistical methods in SE research?,How often are which statistical methods used?,0.6695
50,What steps are needed to increase the use of empirical methods in SE research?,How many different empirical methods are used per publication?,0.6693
51,What role does the synthesis of empirical evidence play in SE research?,"""How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?""",0.6689
52,"What empirical methods are most relevant to SE research, and how are they used?",How has the number of empirical methods used per publication evolved over time?,0.6664
53,"What empirical methods are most relevant to SE research, and how are they used?",How many different empirical methods are used per publication?,0.6662
54,What are the most common empirical research methods used in SE?,How do the authors justify the selection and combination of empirical methods and design elements?,0.6649
55,What are the most common empirical research methods used in SE?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.6621
56,How can SE researchers ensure the validity and reliability of their empirical studies?,How has the use of (a common set of empirically derived) criteria to assess the quality of individual studies evolved over time?,0.6616
57,What are the best practices for conducting systematic literature reviews in SE?,Have the authors done a systematic review of related work?,0.6603
58,What are the best practices for conducting systematic literature reviews in SE?,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.6596
59,What role do systematic reviews and meta-analyses play in SE research?,How many publications are analyzed in (systematic literature) reviews?,0.6594
60,"What are the potential biases in empirical SE studies, and how can they be mitigated?",How do the authors justify preventing bias in the study results?,0.6591
61,What steps are needed to increase the use of empirical methods in SE research?,How often are which empirical methods used over time?,0.6577
62,What are the best practices for conducting systematic literature reviews in SE?,"""Do the authors refer to and consistently use a basic terminology, descriptors, and keywords to identify and select primary studies for (systematic literature) reviews?""",0.6559
63,What are the most common empirical research methods used in SE?,"""What empirical methods are used to conduct integrative and interpretive (systematic literature) reviews, so-called secondary research?""",0.6551
64,"What empirical methods are most relevant to SE research, and how are they used?",What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.6546
65,What role do systematic reviews and meta-analyses play in SE research?,"""Do the authors refer to and consistently use a basic terminology, descriptors, and keywords to identify and select primary studies for (systematic literature) reviews?""",0.6540
66,What role does the synthesis of empirical evidence play in SE research?,How has the use of (a common set of empirically derived) criteria to characterize the quality of secondary research and thus the overall strength of a body of evidence evolved over time?,0.6533
67,What are the best practices for conducting systematic literature reviews in SE?,Which digital libraries with publications from SE and RE and related disciplines do authors use for (systematic literature) reviews?,0.6520
68,What steps are needed to increase the use of empirical methods in SE research?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.6515
69,What role does the synthesis of empirical evidence play in SE research?,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.6501
70,How can the quality of empirical studies in SE be improved?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6469
71,How can empirical SE studies be designed to be more relevant to industry?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6464
72,What role does the synthesis of empirical evidence play in SE research?,How has the proportion of empirical studies evolved over time?,0.6460
